"age","class","gender","survival"
35,1,f,1
35,3,m,0
32,2,f,1
49,2,m,0
22,3,m,0
38,1,f,1
26,3,f,1
54,1,m,0
2,3,m,0
27,3,f,1
14,2,f,1
14,3,f,0
4,3,f,1
20,3,m,0
25,3,m,1
33,1,f,1
40,3,m,0
18,2,f,1
57,2,m,0
11,3,m,0
26,1,f,1
24,3,f,1
60,1,m,0
4,3,m,0
16,2,f,1
2,3,f,1
12,3,f,0
32,3,m,0
42,3,m,0
36,1,f,1
55,3,m,0
28,2,m,1
49,2,m,0
17,3,m,0
15,1,f,1
22,3,f,1
58,1,m,0
5,3,m,0
15,3,f,0
12,2,f,1
14,3,f,1
6,3,f,1
28,3,m,0
35,3,m,1
37,1,f,1
45,3,m,0
17,2,f,0
57,2,m,0
19,3,m,1
26,1,f,1
24,3,f,1
60,1,m,0
4,1,m,0
16,2,f,0
4,3,f,1
15,3,f,0
32,3,m,0
42,3,m,0
45,1,m,0
